iter	RMSE
0	1411.719849
1	1346.17836
2	1285.931681
3	1228.659544
4	1175.514307
5	1126.180574
6	1080.077903
7	1037.129125
8	998.7077974
9	964.4543948
10	931.3028359
11	900.966737
12	872.4551116
13	846.4468601
14	822.9653112
15	801.6579477
16	782.2320348
17	764.2214287
18	747.9479068
19	732.344649
20	718.4122231
21	705.8850132
22	694.7105138
23	683.9573463
24	674.5854689
25	666.3303041
26	658.3688375
27	651.4540678
28	644.8599136
29	638.8398354
30	633.8531316
31	628.963134
32	624.8921333
33	621.0856092
34	617.6371842
35	615.0204545
36	612.2590719
37	609.523659
38	607.2613024
39	604.9227338
40	602.9126599
41	601.1770924
42	599.8621356
43	598.3244908
44	597.0851969
45	595.9385262
46	595.1770457
47	594.1242861
48	593.2756952
49	592.3512473
50	591.4141863
51	590.6236728
52	589.8456689
53	589.3638181
54	588.5225714
55	588.5200783
56	588.5200002
57	587.9709382
58	587.4611294
59	586.9406847
60	586.4824929
61	586.4816211
62	586.065419
63	585.6991804
64	585.2616704
65	585.0228139
66	584.6461519
67	584.2113976
68	583.7926854
69	583.3883197
70	583.059439
71	582.6818227
72	582.6817885
73	582.2649077
74	582.0488001
75	581.6204513
76	581.3811179
77	581.2546601
78	581.0492502
79	580.7995491
80	580.7993887
81	580.4890197
82	580.1884519
83	580.1302316
84	580.0457343
85	579.8862837
86	579.8857175
87	579.7348549
88	579.734843
89	579.5378097
90	579.3500655
91	579.350056
92	579.3500474
93	579.2429858
94	579.0308895
95	579.030882
96	578.9570353
97	578.7118339
98	578.7093558
99	578.5845803
100	578.5845443
101	578.5515326
102	578.551528
103	578.4390944
104	578.2337493
105	578.2337451
106	578.1095456
107	578.1074057
108	578.1072655
109	577.7322084
110	577.5969664
111	577.5606784
112	577.4384102
113	577.3440794
114	577.3422719
115	577.3410368
116	577.2100562
117	577.120293
118	576.8835971
119	576.6715214
120	576.4343293
121	576.0738287
122	576.0450135
123	575.9146081
124	575.913499
125	575.5182657
126	575.515154
127	575.3363547
128	575.080018
129	574.7417644
130	574.6003083
131	574.5914933
132	574.5018331
133	574.501829
134	574.5018254
135	574.4014019
136	574.2281126
137	574.2003844
138	574.200381
139	574.1992154
140	574.1992127
141	574.1989549
142	574.1760874
143	574.1760856
144	574.1671215
145	574.0618739
146	573.8931453
147	573.8222776
148	573.8222762
149	573.8221653
150	573.5882698
151	573.4948846
152	573.4948508
153	573.4463731
154	573.4343185
155	573.3070292
156	573.3070187
157	572.9952545
158	572.9710556
159	572.9710498
160	572.9572281
161	572.8981378
162	572.4604993
163	572.4590605
164	572.4053491
165	572.4053177
166	572.3469959
167	572.0415979
168	572.0408383
169	571.869337
170	571.8688432
171	571.7439247
172	571.6691177
173	571.669115
174	571.5641909
175	571.563049
176	571.4188372
177	571.2804886
178	571.2802532
179	571.2007617
180	571.07866
181	571.0786581
182	570.7429258
183	570.5123072
184	570.4339889
185	570.3868307
186	570.3868006
187	570.2848232
188	570.2848203
189	570.1687003
190	570.1686973
191	569.8669812
192	569.8618823
193	569.6045053
194	569.5002815
195	569.5002774
196	569.499995
197	569.4569586
198	569.2595408
199	568.8684967
200	568.8598606
201	568.8094999
202	568.6771407
203	568.6145428
204	568.5416027
205	568.4055213
206	568.3766131
207	568.3766099
208	568.2657519
209	568.2657486
210	568.2657457
211	568.0947913
212	568.0515663
213	567.9922045
214	567.9922021
215	567.9921999
216	567.9916542
217	567.9664783
218	567.9034154
219	567.4664495
220	567.3194941
221	567.2605002
222	567.2286432
223	567.1520717
224	567.0822596
225	567.0725503
226	566.9376365
227	566.9113178
228	566.9113159
229	566.8277794
230	566.8277775
231	566.6094086
232	566.6094067
233	566.4190026
234	566.265076
235	566.2520174
236	566.0546355
237	566.0546044
238	566.0177289
239	565.9605815
240	565.9159138
241	565.8006804
242	565.715555
243	565.2690842
244	565.2215864
245	565.2110498
246	565.2108953
247	565.2108928
248	565.0571197
249	565.0571174
250	565.0100352
251	565.0100332
252	564.9578867
253	564.9454553
254	564.8211719
255	564.8211701
256	564.6976175
257	564.4847318
258	564.2670944
259	564.2197384
260	564.1887937
261	564.0465328
262	563.9057569
263	563.786396
264	563.6789193
265	563.649444
266	563.6144825
267	563.5038344
268	563.5038304
269	563.5038105
270	563.5037638
271	563.4881955
272	563.4881646
273	563.4881483
274	563.3843581
275	563.3843555
276	563.1867183
277	563.0808431
278	562.9516184
279	562.9516156
280	562.9515717
281	562.8934043
282	562.8667272
283	562.4723238
284	562.3865539
285	562.369351
286	562.3066258
287	562.1622215
288	562.1314953
289	562.131461
290	562.1000247
291	561.995244
292	561.9952178
