iter	Passed	Remaining
0	105	84607
1	207	82611
2	299	79449
3	365	72693
4	438	69790
5	520	68881
6	602	68266
7	693	68699
8	780	68628
9	829	65493
10	912	65453
11	996	65428
12	1089	65977
13	1196	67185
14	1299	68019
15	1355	66404
16	1449	66739
17	1537	66783
18	1635	67232
19	1742	67957
20	1837	68150
21	1932	68355
22	2024	68393
23	2123	68654
24	2224	68959
25	2312	68849
26	2404	68832
27	2584	71253
28	2675	71124
29	2769	71085
30	2865	71089
31	2965	71181
32	3060	71133
33	3165	71322
34	3257	71205
35	3297	69985
36	3366	69423
37	3459	69364
38	3546	69211
39	3624	68868
40	3712	68718
41	3801	68612
42	3891	68502
43	3975	68305
44	4064	68189
45	4218	69149
46	4255	68177
47	4346	68102
48	4448	68173
49	4557	68366
50	4648	68274
51	4731	68055
52	4817	67897
53	4874	67339
54	4974	67382
55	5018	66674
56	5036	65652
57	5141	65771
58	5255	66003
59	5370	66230
60	5475	66329
61	5533	65869
62	5619	65735
63	5733	65933
64	5843	66072
65	5912	65749
66	6007	65718
67	6094	65610
68	6190	65586
69	6297	65677
70	6407	65787
71	6499	65717
72	6521	64950
73	6619	64938
74	6717	64931
75	6820	64975
76	6923	65004
77	6989	64696
78	7089	64703
79	7191	64720
80	7227	64152
81	7315	64052
82	7405	63975
83	7435	63375
84	7525	63306
85	7609	63175
86	7639	62612
87	7726	62514
88	7746	61887
89	7851	61935
90	7941	61874
91	7962	61276
92	7978	60652
93	8071	60620
94	8161	60570
95	8180	59991
96	8281	60018
97	8391	60110
98	8427	59672
99	8514	59599
100	8543	59127
101	8588	58774
102	8609	58262
103	8705	58258
104	8796	58223
105	8814	57711
106	8912	57725
107	8955	57384
108	8986	56969
109	9112	57162
110	9225	57266
111	9343	57397
112	9423	57290
113	9535	57381
114	9601	57192
115	9644	56868
116	9752	56928
117	9805	56674
118	9906	56694
119	10001	56677
120	10091	56631
121	10175	56551
122	10237	56346
123	10315	56236
124	10353	55910
125	10428	55781
126	10454	55402
127	10564	55462
128	10649	55394
129	10740	55354
130	10822	55267
131	10859	54955
132	10953	54934
133	10971	54529
134	10986	54119
135	11070	54052
136	11181	54113
137	11316	54287
138	11357	54007
139	11388	53687
140	11408	53322
141	11434	52986
142	11524	52949
143	11545	52594
144	11614	52465
145	11730	52545
146	11855	52662
147	11968	52726
148	11993	52399
149	12021	52092
150	12111	52055
151	12195	51989
152	12227	51708
153	12308	51631
154	12409	51638
155	12577	51922
156	12647	51796
157	12796	51997
158	12891	51969
159	12969	51876
160	13050	51796
161	13166	51852
162	13288	51931
163	13348	51766
164	13411	51612
165	13442	51342
166	13564	51416
167	13687	51491
168	13726	51251
169	13841	51296
170	13907	51155
171	14042	51270
172	14152	51292
173	14177	51005
174	14292	51043
175	14331	50810
176	14443	50836
177	14582	50957
178	14624	50736
179	14798	50972
180	14920	51026
181	14942	50737
182	15048	50736
183	15137	50679
184	15234	50645
185	15329	50604
186	15387	50439
187	15467	50351
188	15487	50069
189	15588	50046
190	15613	49783
191	15718	49774
192	15779	49629
193	15883	49614
194	15977	49570
195	15999	49303
196	16046	49115
197	16149	49100
198	16253	49087
199	16370	49111
200	16453	49034
201	16546	48983
202	16632	48915
203	16748	48930
204	16872	48972
205	16982	48969
206	17091	48963
207	17113	48707
208	17212	48671
209	17233	48416
210	17251	48158
211	17353	48132
212	17462	48123
213	17528	47997
214	17547	47746
215	17564	47489
216	17648	47415
217	17755	47402
218	17863	47392
219	17970	47377
220	18098	47415
221	18180	47336
222	18286	47314
223	18402	47319
224	18506	47293
225	18605	47255
226	18709	47227
227	18819	47214
228	18842	46982
229	18942	46944
230	18963	46710
231	19063	46673
232	19083	46438
233	19187	46410
234	19306	46416
235	19379	46312
236	19481	46277
237	19518	46088
238	19613	46038
239	19709	45989
240	19830	45997
241	19962	46028
242	20056	45974
243	20165	45951
244	20256	45886
245	20351	45831
246	20385	45639
247	20402	45411
248	20495	45354
249	20527	45160
250	20620	45102
251	20638	44880
252	20729	44817
253	20822	44761
254	20923	44719
255	20942	44502
256	21028	44430
257	21125	44380
258	21216	44316
259	21323	44288
260	21415	44226
261	21510	44170
262	21606	44117
263	21704	44066
264	21809	44029
265	21894	43953
266	22004	43927
267	22091	43853
268	22122	43668
269	22170	43520
270	22227	43388
271	22358	43401
272	22392	43227
273	22420	43040
274	22536	43023
275	22557	42826
276	22670	42803
277	22776	42768
278	22881	42729
279	22900	42530
280	22926	42345
281	23027	42297
282	23111	42221
283	23213	42177
284	23310	42122
285	23498	42230
286	23603	42189
287	23716	42162
288	23812	42103
289	23851	41945
290	23934	41865
291	24057	41852
292	24103	41707
