pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,906.0804046009061
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,922.7631702667013
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,920.0638476738943
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,920.483686854619
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,912.0539989788319
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,896.7047404675618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,897.8702166244964
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,904.9691833645993
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,921.6519490303945
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,920.1114432623622
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,920.6361017410829
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,912.0539989788319
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,896.7047404675618
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,897.8702166244964
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,904.9691833645993
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,921.6519490303945
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,919.891557815864
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,920.4162162945847
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,911.8341135323337
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,896.4848550210636
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,897.6503311779982
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,904.7492979181011
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,921.4320635838963
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,919.891557815864
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,920.4162162945847
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,911.7647023335385
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,896.4154438222683
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,897.5809199792029
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,904.6798867193058
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,921.362652385101
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,919.8221466170687
